tr_idx,tr_start_sec,tr_end_sec,n_words,coverage_sec
191,286.5,288.0,6,1.4600009
192,288.0,289.5,2,0.51999897
193,289.5,291.0,3,0.72
194,291.0,292.5,4,0.84
195,292.5,294.0,6,1.45
196,294.0,295.5,4,1.17
197,295.5,297.0,4,1.06
198,297.0,298.5,1,0.52
199,298.5,300.0,3,1.15
200,300.0,301.5,3,0.48
201,301.5,303.0,0,0.0
202,303.0,304.5,3,0.55
203,304.5,306.0,10,1.4900001
204,306.0,307.5,5,1.11
205,307.5,309.0,4,0.76
206,309.0,310.5,4,1.27
207,310.5,312.0,4,0.95
208,312.0,313.5,4,1.5
209,313.5,315.0,3,0.72
210,315.0,316.5,0,0.0
211,316.5,318.0,2,0.53000003
212,318.0,319.5,6,1.44
213,319.5,321.0,3,1.0799999
214,321.0,322.5,5,1.400001
215,322.5,324.0,6,1.029998
216,324.0,325.5,4,1.000001
217,325.5,327.0,6,1.5
218,327.0,328.5,7,1.2900001
219,328.5,330.0,2,0.24000001
220,330.0,331.5,13,1.5
221,331.5,333.0,6,1.28
222,333.0,334.5,7,0.92
223,334.5,336.0,2,0.78999996
224,336.0,337.5,4,0.9499999
225,337.5,339.0,4,1.19
226,339.0,340.5,7,1.0799999
227,340.5,342.0,6,1.4
228,342.0,343.5,4,0.89
229,343.5,345.0,2,0.45
230,345.0,346.5,6,1.3299999
231,346.5,348.0,2,0.31
232,348.0,349.5,4,1.35
233,349.5,351.0,8,1.39
234,351.0,352.5,4,0.98
235,352.5,354.0,0,0.0
236,354.0,355.5,6,0.99000007
237,355.5,357.0,9,1.49
238,357.0,358.5,2,0.44
239,358.5,360.0,7,1.1
240,360.0,361.5,3,0.41000003
241,361.5,363.0,6,0.96
242,363.0,364.5,6,1.07
243,364.5,366.0,4,0.57
244,366.0,367.5,2,0.24000001
245,367.5,369.0,3,0.47
246,369.0,370.5,6,1.1500009
247,370.5,372.0,5,1.469999
248,372.0,373.5,4,1.470001
249,373.5,375.0,4,1.2599989
250,375.0,376.5,4,1.03
251,376.5,378.0,4,0.97
252,378.0,379.5,2,0.44
253,379.5,381.0,4,1.2
254,381.0,382.5,2,0.08
255,382.5,384.0,1,0.17
256,384.0,385.5,9,1.46
257,385.5,387.0,3,0.66
258,387.0,388.5,9,1.46
259,388.5,390.0,3,0.68
260,390.0,391.5,0,0.0
261,391.5,393.0,2,0.21000001
262,393.0,394.5,5,1.32
263,394.5,396.0,1,0.31
264,396.0,397.5,0,0.0
265,397.5,399.0,1,0.23
266,399.0,400.5,4,1.0899999
267,400.5,402.0,5,1.29
268,402.0,403.5,5,1.27
269,403.5,405.0,0,0.0
270,405.0,406.5,7,1.4300001
271,406.5,408.0,5,1.02
272,408.0,409.5,6,1.5
273,409.5,411.0,4,1.01
274,411.0,412.5,10,1.4000012
275,412.5,414.0,4,1.25
276,414.0,415.5,4,1.049999
277,415.5,417.0,7,0.89
278,417.0,418.5,2,0.44
279,418.5,420.0,1,0.3
280,420.0,421.5,2,0.78
281,421.5,423.0,4,1.05
282,423.0,424.5,0,0.0
283,424.5,426.0,5,0.94000006
284,426.0,427.5,5,0.66000104
285,427.5,429.0,5,0.839999
286,429.0,430.5,3,0.29000002
287,430.5,432.0,0,0.0
288,432.0,433.5,0,0.0
289,433.5,435.0,0,0.0
290,435.0,436.5,0,0.0
291,436.5,438.0,0,0.0
292,438.0,439.5,0,0.0
293,439.5,441.0,0,0.0
294,441.0,442.5,0,0.0
295,442.5,444.0,0,0.0
296,444.0,445.5,0,0.0
297,445.5,447.0,0,0.0
298,447.0,448.5,0,0.0
299,448.5,450.0,0,0.0
